date,q0_kwh,active_kwh,up_kwh,down_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,storage_loss_kwh,plan_cost,up_cost,down_penalty,refund,emergency_cost,total_cost,start_soc_kwh,end_soc_kwh,forecast_plan_cost,price_mae_0,mean_actual_price
2025-08-18,78424.87260192043,78635.72625292045,210.85365100000075,0.0,45.51568333333341,16712.689989369002,13459.384379555555,11033.820709773665,3166.756152220851,59272.32641518125,529.0107249939019,0.0,0.0,383.7337151000006,60185.070855275146,7540.28700611111,7626.836463703704,59614.4140119977,0.03965520833333333,0.8475611111111111
2025-08-19,77551.93725574829,77751.30896541495,199.3717096666677,0.0,18.647483333333184,16084.643110699591,13132.138070833334,10499.79135888203,3067.590763384774,58309.86396569144,489.49742157360254,0.0,0.0,157.48073860833205,58956.84212587337,7626.836463703704,7511.7507401851835,58723.95827255855,0.03936006944444445,0.8429152777777777
2025-08-20,86328.35592877229,87267.6156877284,939.2597589561012,0.0,47.93479999999988,17661.206940586424,14343.028669833333,13346.681150308641,3359.790546262346,64116.96376515344,1240.4867699788856,0.0,0.0,397.5793135166657,65755.02984864899,7511.7507401851835,7470.1384646759225,64178.70803427288,0.03514375000000001,0.866348611111111
2025-08-21,81991.04580285528,82212.76064829972,221.71484544444377,0.0,0.0,15704.713046519206,12632.089846222223,13295.718964669413,2974.036843121057,60540.514219097,545.5182914737816,0.0,0.0,0.0,61086.03251057078,7470.1384646759225,7568.7248218518525,61058.76535157632,0.033959201388888895,0.8472069444444444
2025-08-22,44640.87323481035,44873.18103481035,232.30780000000067,0.0,0.0,15370.73235754458,12683.741818138888,20955.621095404662,2946.377882214335,26377.947396032825,510.7869384368764,0.0,0.0,0.0,26888.7343344697,7568.7248218518525,7309.337479043211,26184.053680703524,0.03345451388888888,0.6604708333333333
2025-08-23,43899.670806671806,44475.551822727364,575.8810160555561,0.0,0.0,15338.20179715363,12352.303008333332,18959.646883907066,2906.2982917524,25031.878047555714,886.6221087666087,0.0,0.0,0.0,25918.500156322323,7309.337479043211,7388.937976111111,25497.249874810943,0.0386361111111111,0.6591965277777778
2025-08-24,76921.45261159739,77129.21864709738,207.76603549999902,0.0,0.0,17612.95834026063,13865.264606777779,9647.935430281208,3301.880790334705,58947.280925945175,511.44726128857246,0.0,0.0,0.0,59458.72818723375,7388.937976111111,7834.750919259257,58707.846213747034,0.031652604166666674,0.8410215277777778
2025-08-25,98391.46060419238,98623.67587919238,232.21527499999922,0.0,14.518666666666832,13857.227962654333,11346.815118750003,25354.694685288057,2646.4800316821006,73407.2020205077,570.6574275487482,0.0,0.0,120.64286066666804,74098.50230872311,7834.750919259257,7698.683731481481,72853.68155142466,0.029661805555555556,0.8601569444444445
2025-08-26,76879.0854596022,77068.73105043553,189.6455908333313,0.0,0.0,16483.019176337446,13074.791400833336,8131.684891598087,3101.056517726338,58574.94201419787,463.56968223299504,0.0,0.0,0.0,59038.51169643086,7698.683731481481,8005.854989259258,58957.27590475226,0.035681597222222215,0.8444180555555555
2025-08-27,77043.29567195302,78821.3681542795,1778.0724823264766,0.0,0.0,15493.683363820308,12949.995590027778,8363.5315138203,2988.2567352740066,58623.06149094787,2110.797280478934,0.0,0.0,0.0,60733.8587714268,8005.854989259258,7561.286027777781,59473.947514991916,0.038039062500000005,0.8533875
2025-08-28,76415.80765015433,78645.00395506961,2229.1963049152905,0.0,7.526666666666642,17335.98332201645,14181.294681666664,4730.0469980531625,3309.297741275719,56906.33770749295,3110.566993481782,0.0,0.0,63.29550333333312,60080.200204308065,7561.286027777781,7406.676926851849,57024.25647549278,0.041269618055555554,0.8635048611111111
2025-08-29,46430.75662705761,46629.46507705762,198.708450000001,0.0,0.0,15584.224255006855,12515.815997222218,21005.83646927298,2949.0686474142653,27423.955186324314,440.2868338162521,0.0,0.0,0.0,27864.242020140566,7406.676926851849,7526.016537222222,27381.42898288767,0.034292881944444444,0.6645076388888889
2025-08-30,44487.25319478086,44547.14644179475,59.89324701388955,0.0,0.0,15222.377297085048,12787.72148855504,23599.770799931408,2943.095672881287,25629.37964480549,113.33299666203251,0.0,0.0,0.0,25742.712641467522,7526.016537222222,7017.576672870945,25231.331688829054,0.0369076388888889,0.6546625
2025-08-31,75431.12355509195,76606.35930087384,1175.235745781892,0.0,42.794033333333346,19081.69112801719,15412.710623611112,6333.5497464677655,3620.692515425176,55116.15801781195,1303.5954302596267,0.0,0.0,355.96955719166675,56775.723005263244,7017.576672870945,7065.86466185185,55764.182432807625,0.03614322916666667,0.846538888888889
2025-09-01,84401.9868428498,84401.9868428498,0.0,0.0,0.0,17248.932733950616,11184.344495833335,24763.264071399186,2967.5982173765433,54084.26741796344,0.0,0.0,0.0,0.0,54084.26741796344,7065.86466185185,10162.854682592591,60196.13945729991,0.10078975694444445,0.7517326388888889
