日期,预测负载MAE_kW,预测光伏MAE_kW,预测净负荷MAE_kWh,计划购电量_kWh,计划购电费_元,紧急购电量_kWh,紧急购电费_元,总购电费_元,弃光量_kWh,弃光率,未利用外网电量_kWh,期初SOC_kWh,期末SOC_kWh,正向备用缺口_kWh,反向备用缺口_kWh,优化目标值,计划终端SOC偏差_kWh
2025-08-14,176.67054681363152,160.6268030654798,44.65896117828538,74454.49097631144,52489.99601416649,0.0,0.0,52489.99601416649,5622.811552080082,0.08031467612564427,552.0339835501709,9434.448606902297,8996.119725859171,0.0,0.0,52489.99601416649,0.0
2025-08-15,537.7744166862711,173.87204919374278,115.84653652413483,53686.21076349322,35886.67424911616,0.0,0.0,35886.67424911616,30494.703537038353,0.41883536083120043,2038.1167639662403,8996.119725859171,10739.183542106177,0.0,0.0,35886.67524300349,0.0
2025-08-16,318.4951936335813,195.06028019190282,81.55769504451297,49245.76822642251,33043.820374742834,0.0,0.0,33043.820374742834,29185.713074296957,0.3984166526984746,964.7871572155651,10739.183542106177,10442.258160644811,0.0,0.0,33043.82165478368,0.0
2025-08-17,260.45630403930306,188.3016834380752,48.932266865317466,69243.23368252537,48727.6377141482,0.0,0.0,48727.6377141482,4970.0991598182045,0.06883438916091464,119.88595040267327,10442.258160644811,8465.73938412821,0.0,0.0,48727.637860160925,0.0
2025-08-18,157.38657628150784,157.96430904067358,44.482519408164066,75424.65861616735,53145.776693432534,0.0,0.0,53145.776693432534,7147.731742172686,0.10022611782501994,529.0163438151769,8465.73938412821,9184.38006035434,0.0,0.0,53145.77680432625,0.0
2025-08-19,143.60622253014924,154.53405353597725,41.42272938186859,75537.01831247016,53480.85105251864,0.0,0.0,53480.85105251864,8275.642065104948,0.1164815221156129,557.045766346432,9184.38006035434,9117.386290143333,0.0,0.0,53480.85109281419,0.0
2025-08-20,158.89520779091163,247.61690515566008,51.27155522035154,74621.81715500829,52666.42184524948,0.0,0.0,52666.42184524948,420.82595945410634,0.006534832211499705,438.4416497888129,9117.386290143333,9114.057459760279,0.0,0.0,52666.42189271913,0.0
2025-08-21,130.77933350376952,178.87277814320663,42.88145780692327,76116.63937909297,54087.82734983839,0.0,0.0,54087.82734983839,7302.276121165167,0.10563507653769826,405.4328826514987,9114.057459760279,9382.122696917375,0.0,0.0,54087.82736341178,0.0
2025-08-22,471.0170763417019,144.98326782506484,82.3996706549611,52800.21441814782,35270.734104058516,0.0,0.0,35270.734104058516,26506.20156530289,0.38247846331611807,1382.8311331987848,9382.122696917375,10800.0,0.0,0.0,35270.73524779514,0.0
2025-08-23,318.66738173638714,153.39186897664644,55.534079302167775,49241.43533357593,33104.87038141073,0.0,0.0,33104.87038141073,23408.182649694703,0.3485064664157577,1510.3074406846488,10800.0,10154.299871629824,0.0,0.0,33104.87174108461,0.0
2025-08-24,248.95989061819273,228.54076342734444,59.24726297460125,70834.67418746138,50049.74683894245,0.0,0.0,50049.74683894245,5512.3442481382945,0.07727460969826411,43.843542543612955,10154.299871629824,8850.003873271087,0.0,0.0,50049.747001355114,0.0
2025-08-25,120.01108675997267,251.15959022823375,52.90010179678458,75832.34779355147,53636.99994065654,0.0,0.0,53636.99994065654,1251.2436265791307,0.019630884030533577,596.0305694803953,8850.003873271087,9374.938329348977,0.0,0.0,53637.00010121809,0.0
2025-08-26,149.13052772633392,181.67120981364982,40.11937867647828,76262.33722381448,54033.19992059408,0.0,0.0,54033.19992059408,7149.325275897102,0.10385401162036187,697.4454528954627,9374.938329348977,9676.70778334743,0.0,0.0,54033.19992059409,0.0
2025-08-27,112.82378824140281,146.1508299893879,32.500125268552736,76066.12354769462,54015.52128427896,0.0,0.0,54015.52128427896,5107.505396682816,0.07753419123060613,480.1071532291576,9676.70778334743,9438.146024797305,0.0,0.0,54015.521314295336,0.0
2025-08-28,169.59775019223284,216.1064804185433,52.34059389285186,75899.8078810203,53495.809983700405,0.0,0.0,53495.809983700405,1831.7758271182201,0.02872201466384539,514.3434434058101,9438.146024797305,9363.010120451665,0.0,0.0,53495.81004487713,0.0
2025-08-29,536.6761289961768,150.55762702937466,89.90959039023748,52955.305720383025,34922.350417970534,0.0,0.0,34922.350417970534,23999.84378666121,0.3648883713102025,2448.018049232979,9363.010120451665,10800.0,0.0,0.0,34922.351414452874,0.0
2025-08-30,319.85861953015416,259.96282649993634,87.90738618239233,49297.81331478871,32504.04647036017,0.0,0.0,32504.04647036017,28311.41522310345,0.40150992125921703,890.8809814382521,10800.0,9993.751162758,0.0,0.0,32504.047678145387,0.0
2025-08-31,210.52739018472457,152.66740444580702,50.50930174215664,71507.81555776541,50050.428881247244,0.0,0.0,50050.428881247244,2662.5671048099994,0.03990733689678259,394.7498682294266,9993.751162758,8846.50746761358,0.0,0.0,50050.42920075242,0.0
2025-09-01,532.0275354543523,171.6096757533764,107.94089146274989,75747.52462749842,53206.61002599324,0.0,0.0,53206.61002599324,12475.96754659242,0.18431175234591046,5484.8327941489415,8846.50746761358,10800.0,0.0,0.0,53206.61003369323,0.0
2025-09-02,451.7244715974474,151.98966295282207,86.81119203693589,71428.2521969922,50472.72327188231,0.0,0.0,50472.72327188231,10176.764673609076,0.15082259166248338,4533.58949663607,10800.0,10800.0,0.0,0.0,50472.72335716659,0.0
2025-09-03,399.3702206168204,177.7876038827362,69.08355541345365,71215.74836349893,50389.74323669016,0.0,0.0,50389.74323669016,10140.715072678828,0.1539130497886423,3243.637877653953,10800.0,10800.0,0.0,317.7547478410743,51660.76234247047,0.0
