日期,变量,基准,权重
2025-09-27,光伏,前1天,0.22261736906396412
2025-09-27,光伏,前7天,0.20418199703961676
2025-09-27,光伏,近7天中位数,0.2869066284165532
2025-09-27,光伏,同星期中位数,0.16410479337244557
2025-09-28,光伏,附件1先验,0.12639712932863217
2025-09-28,光伏,前1天,0.22231738366857604
2025-09-28,光伏,前7天,0.2044816125474445
2025-09-28,光伏,近7天中位数,0.2873128922397379
2025-09-28,光伏,同星期中位数,0.15949098221560942
2025-09-29,光伏,附件1先验,0.13098610577095718
2025-09-29,光伏,前1天,0.2241370190827494
2025-09-29,光伏,前7天,0.20429404099730689
2025-09-29,光伏,近7天中位数,0.2860209498352166
2025-09-29,光伏,同星期中位数,0.1545618843137699
2025-09-30,光伏,附件1先验,0.13382252107589668
2025-09-30,光伏,前1天,0.22341477868734308
2025-09-30,光伏,前7天,0.20538036659793787
2025-09-30,光伏,近7天中位数,0.28759133172437706
2025-09-30,光伏,同星期中位数,0.14979100191444525
2025-10-01,光伏,附件1先验,0.13878859757518763
2025-10-01,光伏,前1天,0.22539128517492357
2025-10-01,光伏,前7天,0.20566710666088
2025-10-01,光伏,近7天中位数,0.2854704680632186
2025-10-01,光伏,同星期中位数,0.14468254252579027
2025-10-02,光伏,附件1先验,0.14185247341676685
2025-10-02,光伏,前1天,0.2229935444097344
2025-10-02,光伏,前7天,0.2069908423749548
2025-10-02,光伏,近7天中位数,0.2809352352655517
2025-10-02,光伏,同星期中位数,0.14722790453299223
2025-10-03,光伏,附件1先验,0.14236519675862874
2025-10-03,光伏,前1天,0.2229075815371583
2025-10-03,光伏,前7天,0.21130641547767343
2025-10-03,光伏,近7天中位数,0.27433130700789776
2025-10-03,光伏,同星期中位数,0.14908949921864176
2025-10-04,光伏,附件1先验,0.14532140447809064
2025-10-04,光伏,前1天,0.2272270323301653
2025-10-04,光伏,前7天,0.20777992694274672
2025-10-04,光伏,近7天中位数,0.2706514396075545
2025-10-04,光伏,同星期中位数,0.14902019664144284
2025-10-05,光伏,附件1先验,0.14747369890065412
2025-10-05,光伏,前1天,0.22460035118030144
2025-10-05,光伏,前7天,0.20820096322955878
2025-10-05,光伏,近7天中位数,0.27425671623821046
2025-10-05,光伏,同星期中位数,0.14546827045127508
2025-10-06,光伏,附件1先验,0.14864916523934393
2025-10-06,光伏,前1天,0.22714138880155804
2025-10-06,光伏,前7天,0.20545846748261656
2025-10-06,光伏,近7天中位数,0.27360237685665495
2025-10-06,光伏,同星期中位数,0.14514860161982654
2025-10-07,光伏,附件1先验,0.1460866558888947
2025-10-07,光伏,前1天,0.22687053579637032
2025-10-07,光伏,前7天,0.2067489735915421
2025-10-07,光伏,近7天中位数,0.2764004979468559
2025-10-07,光伏,同星期中位数,0.143893336776337
2025-10-08,光伏,附件1先验,0.14777518410731436
2025-10-08,光伏,前1天,0.22978049716928103
2025-10-08,光伏,前7天,0.20430789331658675
2025-10-08,光伏,近7天中位数,0.2757995095263154
2025-10-08,光伏,同星期中位数,0.14233691588050254
2025-10-09,光伏,附件1先验,0.14391216580239793
2025-10-09,光伏,前1天,0.23600110301372465
2025-10-09,光伏,前7天,0.19931665621225272
2025-10-09,光伏,近7天中位数,0.2791054668521884
2025-10-09,光伏,同星期中位数,0.14166460811943632
2025-10-10,光伏,附件1先验,0.14430224904028574
2025-10-10,光伏,前1天,0.24158583565085742
2025-10-10,光伏,前7天,0.19736404339589383
2025-10-10,光伏,近7天中位数,0.27713646350032745
2025-10-10,光伏,同星期中位数,0.1396114084126355
2025-10-11,光伏,附件1先验,0.1432116186006207
2025-10-11,光伏,前1天,0.24437092953085435
2025-10-11,光伏,前7天,0.1987756688497931
2025-10-11,光伏,近7天中位数,0.27480800592782284
2025-10-11,光伏,同星期中位数,0.13883377709090897
2025-10-12,光伏,附件1先验,0.1460187245122031
2025-10-12,光伏,前1天,0.24033524556020483
2025-10-12,光伏,前7天,0.20145869180060125
2025-10-12,光伏,近7天中位数,0.27477733674307625
2025-10-12,光伏,同星期中位数,0.13741000138391454
2025-10-13,光伏,附件1先验,0.14387577756713707
2025-10-13,光伏,前1天,0.2443111258696074
2025-10-13,光伏,前7天,0.1999180724344017
2025-10-13,光伏,近7天中位数,0.2749895854103631
2025-10-13,光伏,同星期中位数,0.13690543871849065
2025-10-14,光伏,附件1先验,0.14237405696438737
2025-10-14,光伏,前1天,0.24613647073208222
2025-10-14,光伏,前7天,0.20178375581046704
2025-10-14,光伏,近7天中位数,0.2742033137600234
2025-10-14,光伏,同星期中位数,0.13550240273303998
