date,issue_hour,price_model,pv_model,start_soc_kwh,proxy_objective,mip_gap,mip_absolute_gap,constraint_error,max_reserve_slack_soc_kwh,terminal_penalty,reserve_penalty,historical_days
2025-04-14,0,weekday4,mean7,6462.885184146829,36505.72407414878,0.0,0.0,1.1368683772161603e-13,0.0,0.6337459928717999,3.899975340749538,56
2025-04-15,0,weekday4,mean7,6445.854374391534,37390.14811708366,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.6403901091480962,3.940862210142131,56
2025-04-16,0,weekday4,mean7,6658.6567328733145,36511.05288374843,0.0,0.0,1.8189894035458565e-12,0.0,0.6390349523592216,3.9325227837490555,56
2025-04-17,0,weekday4,mean7,6666.725494140211,36404.464206045974,0.0,0.0,1.8189894035458565e-12,0.0,0.6392266874997087,3.9337026923058995,56
2025-04-18,0,weekday4,mean7,6655.566190939153,11055.423652971287,0.0,0.0,2.5011104298755527e-12,0.0,0.46686279458546553,2.873001812833634,56
2025-04-19,0,weekday4,mean7,7079.935733665491,10712.89937876242,0.0,0.0,2.1600499167107046e-12,0.0,0.47409355358864924,2.9174987913147645,56
2025-04-20,0,weekday4,mean7,6914.987362136242,35520.90829093968,0.0,0.0,1.8189894035458565e-12,0.0,0.6310920594510641,3.8836434427757784,56
2025-04-21,0,weekday4,mean7,6914.038119120372,35749.240247345035,0.0,0.0,9.094947017729282e-13,0.0,0.6301465076457918,3.877824662435642,56
2025-04-22,0,weekday4,mean7,6601.9050854828065,35234.61930719255,0.0,0.0,1.8189894035458565e-12,0.0,0.6317075807482014,3.887431266142778,56
2025-04-23,0,weekday4,mean7,6596.468601104496,35615.54198734972,0.0,0.0,4.547473508864641e-13,0.0,0.6367188159532984,3.9182696366356824,56
2025-04-24,0,weekday4,mean7,6737.092237248677,34964.188766794825,0.0,0.0,1.8189894035458565e-12,0.0,0.6322054340775821,3.8904949789389667,56
2025-04-25,0,weekday4,mean7,6667.604543280424,10304.652228816267,0.0,0.0,2.2509993868879974e-11,0.0,0.46432242016915637,2.8573687395025007,56
2025-04-26,0,weekday4,mean7,6516.264535310852,10384.500776713827,0.0,0.0,4.547473508864641e-12,0.0,0.4673181824552767,2.8758041997247794,56
2025-04-27,0,weekday4,mean7,6353.557713412701,33061.969533206124,0.0,0.0,1.8189894035458565e-12,0.0,0.6260170668281224,3.8524127189422916,56
2025-04-28,0,weekday4,mean7,6251.836376574075,33724.94166556849,0.0,0.0,1.8189894035458565e-12,0.0,0.6222961842383302,3.829514979928186,56
2025-04-29,0,weekday4,mean7,6353.713013564814,34158.00020163383,0.0,0.0,1.8189894035458565e-12,0.0,0.6270811624043086,3.8589609994111296,56
2025-04-30,0,weekday4,mean7,6514.409243055556,33968.05271296434,0.0,0.0,1.8189894035458565e-12,0.0,0.6339134606377118,3.901005911616688,56
2025-05-01,0,weekday4,mean7,6422.7333537196255,33722.26915579838,0.0,0.0,9.094947017729282e-13,0.0,0.6245886476586077,3.843622447129893,56
2025-05-02,0,weekday4,mean7,5410.450555370369,10774.829771662105,0.0,0.0,3.637978807091713e-12,0.0,0.455984716670456,2.8060597948951136,56
2025-05-03,0,weekday4,mean7,5656.498716851851,11107.907051136252,0.0,0.0,2.7284841053187847e-12,0.0,0.4617434667552647,2.8414982569554748,56
2025-05-04,0,weekday4,mean7,5899.0717185185185,35257.64526338578,0.0,0.0,9.094947017729282e-13,0.0,0.6224404655759065,3.830402865082501,56
2025-05-05,0,weekday4,mean7,5778.4083972222215,35525.6734172882,0.0,0.0,1.8189894035458565e-12,0.0,0.6243640896250137,3.8422405515385454,56
2025-05-06,0,weekday4,mean7,5575.986862962964,35080.806731028184,0.0,0.0,1.8189894035458565e-12,0.0,0.6190451371669997,3.809508536412306,56
2025-05-07,0,weekday4,mean7,5285.953788333332,36038.725080191754,0.0,0.0,1.8189894035458565e-12,0.0,0.6266224887735347,3.8561383924525208,56
2025-05-08,0,weekday4,mean7,5470.107508333333,39168.49522708987,0.0,0.0,1.8189894035458565e-12,0.0,0.6234128122237246,3.8363865367613816,56
2025-05-09,0,weekday4,mean7,7006.275021527782,13080.543579064402,8.06863075381199e-10,1.05542076198617e-05,1.8189894035458565e-12,0.0,0.46430135576190024,2.8572391123809244,56
2025-05-10,0,weekday4,mean7,7211.2719702447075,13149.147727965956,0.0,0.0,2.7284841053187847e-12,0.0,0.46277635154736296,2.8478544710606952,56
2025-05-11,0,weekday4,mean7,7130.2232502447105,38679.424536756705,0.0,7.275957614183426e-12,4.547473508864641e-13,0.0,0.6224037370741246,3.830176843533074,56
2025-05-12,0,weekday4,mean7,6783.407567261905,39047.748565304224,0.0,0.0,1.8189894035458565e-12,0.0,0.6280195052712789,3.8647354170540242,56
2025-05-13,0,weekday4,mean7,6970.346548809523,38737.19955942295,0.0,0.0,4.547473508864641e-13,0.0,0.6214593608965142,3.824365297824703,56
2025-05-14,0,weekday4,mean7,7356.315200813492,39186.38377482925,0.0,0.0,9.094947017729282e-13,0.0,0.6272333128201041,3.859897309662179,56
2025-05-15,0,weekday4,mean7,7210.931957281745,38569.4620417238,0.0,0.0,4.547473508864641e-13,0.0,0.6261617005909933,3.853302772867651,56
2025-05-16,0,weekday4,mean7,7430.049074047618,12595.077064478486,2.2503279221725157e-08,0.0002834305360011058,2.7284841053187847e-12,0.0,0.4697976489437502,2.8910624550384627,56
2025-05-17,0,weekday4,mean7,6662.063250919311,13151.688865114656,1.8665579087642762e-08,0.0002454838886478683,3.637978807091713e-12,0.0,0.46716169584073736,2.874841205173768,56
2025-05-18,0,weekday4,mean7,6792.7225943915355,38390.80826505154,0.0,0.0,1.8189894035458565e-12,0.0,0.6256143288776849,3.8499343315549837,56
2025-05-19,0,weekday4,mean7,7315.035383161376,37717.5186935421,0.0,7.275957614183426e-12,2.2737367544323206e-13,0.0,0.6314855817430522,3.886065118418783,56
2025-05-20,0,weekday4,mean7,6666.545560866404,37514.55601611672,0.0,0.0,1.7053025658242404e-12,0.0,0.6265493947154236,3.8556885828641447,56
2025-05-21,0,weekday4,mean7,6651.24086970238,37692.18085808245,0.0,7.275957614183426e-12,1.8189894035458565e-12,0.0,0.6251881362348813,3.8473116075992695,56
2025-05-22,0,weekday4,mean7,6840.273714960322,37203.65018790455,0.0,0.0,1.8189894035458565e-12,0.0,0.6286978766226292,3.8689100099854103,56
2025-05-23,0,weekday4,mean7,6937.131970383599,12717.559557960718,0.0,0.0,9.094947017729282e-12,0.0,0.46824052069020516,2.8814801273243393,56
2025-05-24,0,weekday4,mean7,7368.676962394181,13151.996997571116,0.0,0.0,4.220623850414995e-12,0.0,0.4720539494259424,2.9049473810827227,56
2025-05-25,0,weekday4,mean7,7291.724643657408,37227.73961027333,0.0,7.275957614183426e-12,2.2737367544323206e-13,0.0,0.6283373402861975,3.866691324838138,56
2025-05-26,0,weekday4,mean7,6878.303526798939,37055.5922866784,0.0,0.0,2.2737367544323206e-13,0.0,0.6326813292070792,3.8934235643512562,56
2025-05-27,0,weekday4,mean7,7081.196119765499,37603.97092040965,1.9348907671435253e-16,0.0,9.094947017729282e-13,0.0,0.6302111198264775,3.8782222758552463,56
2025-05-28,0,weekday4,mean7,6947.519084160052,37081.59096321611,0.0,0.0,9.094947017729282e-13,0.0,0.6268864579492126,3.8577628181490007,56
2025-05-29,0,weekday4,mean7,7134.2601295436525,36917.00081020224,0.0,0.0,1.1368683772161603e-13,0.0,0.6323384141353762,3.891313317756161,56
2025-05-30,0,weekday4,mean7,6777.478485033068,12768.515621976429,0.0,0.0,1.0611955758577096e-11,0.0,0.47328134099936703,2.9125005599961047,56
2025-05-31,0,weekday4,mean7,7034.127340059524,12972.509232033291,0.0,0.0,1.8189894035458565e-12,0.0,0.4769729960652666,2.9352184373247177,56
2025-06-01,0,weekday4,mean7,7281.775899133598,38233.61028385465,0.0,7.275957614183426e-12,1.0231815394945443e-11,0.0,0.630646238823384,3.8808999312208248,56
2025-06-02,0,weekday4,mean7,4837.662932592592,40093.77580405328,0.0,0.0,9.094947017729282e-13,0.0,0.6321546532746888,3.8901824816903927,56
2025-06-03,0,weekday4,mean7,4858.7163505555545,41277.33440399939,0.0,0.0,9.094947017729282e-13,0.0,0.6360884349329196,3.9143903688179664,56
2025-06-04,0,weekday4,mean7,5076.3957340740735,42691.021813271436,0.0,0.0,9.094947017729282e-13,0.0,0.6360601698982865,3.9142164301433016,56
2025-06-05,0,weekday4,mean7,4758.177982222223,44950.92393897452,0.0,0.0,9.094947017729282e-13,0.0,0.6406283854677838,3.9423285259555927,56
2025-06-06,0,weekday4,mean7,4452.892930370372,14868.074485796576,0.0,0.0,2.4556356947869062e-11,0.0,0.4743875679149033,2.9193081102455585,56
2025-06-07,0,weekday4,mean7,4681.4837307407415,15477.06468065449,4.989477542208504e-10,7.722246664343402e-06,2.9487523534044158e-12,0.0,0.48420782174074495,2.9797404414815074,56
2025-06-08,0,weekday4,mean7,4965.508363703703,57117.470604881884,0.0,0.0,4.547473508864641e-13,0.0,0.6554911358847705,4.033791605444741,56
2025-06-09,0,weekday4,mean7,7653.021440052912,54809.25859479189,8.247907541129809e-06,0.45206169728771783,1.8189894035458565e-12,0.0,0.6512746407592614,4.007843943133916,56
2025-06-10,0,weekday4,mean7,7475.040873015872,55258.72407883016,0.0,0.0,9.094947017729282e-13,0.0,0.6558028613179031,4.035709915802481,56
2025-06-11,0,weekday4,mean7,7444.912756031745,56004.50891283117,0.0,0.0,4.547473508864641e-13,0.0,0.6561935352771001,4.038114063243693,56
2025-06-12,0,weekday4,mean7,7759.681327116406,57272.06037176363,0.0,0.0,5.684341886080801e-13,0.0,0.6619960204993535,4.073821664611406,56
2025-06-13,0,weekday4,mean7,7837.875056349207,20076.126441894117,1.2946690607953389e-10,2.5991939764935523e-06,1.321166109846672e-08,0.0,0.5002063889114037,3.078193162531715,56
2025-06-14,0,weekday4,mean7,7843.938504358468,20003.930995323106,0.0,0.0,1.8189894035458565e-12,0.0,0.5077090763262391,3.1243635466230097,56
